peer_count,seed,implementation,round,previous_mesh,candidate_mesh,deployed_mesh,gossip_factor,heartbeat_ms,accepted,rejection_reason
25,4245,FedGreenSub,2,8,8,8,0.2443345998,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
25,4245,FedGreenSub,3,8,8,8,0.2365573428,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
25,4245,Trust-Aware,1,8,8,8,0.2484889941,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
25,4245,Trust-Aware,2,8,8,8,0.2443353917,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
25,4245,Trust-Aware,3,8,8,8,0.2365596589,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
25,4246,FedGreenSub,1,8,8,8,0.2484888129,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
25,4246,FedGreenSub,2,8,8,8,0.2443346335,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
25,4246,FedGreenSub,3,8,8,8,0.2365574642,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
25,4246,Trust-Aware,1,8,8,8,0.2484890011,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
25,4246,Trust-Aware,2,8,8,8,0.2443354168,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
25,4246,Trust-Aware,3,8,8,8,0.2365597108,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4242,FedGreenSub,1,8,8,8,0.2484907248,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4242,FedGreenSub,2,8,8,8,0.2443392229,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4242,FedGreenSub,3,8,8,8,0.2365649354,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4242,Trust-Aware,1,8,8,8,0.2484909006,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4242,Trust-Aware,2,8,8,8,0.2443399735,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4242,Trust-Aware,3,8,8,8,0.2365671923,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4243,FedGreenSub,1,8,8,8,0.2484907335,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4243,FedGreenSub,2,8,8,8,0.2443392576,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4243,FedGreenSub,3,8,8,8,0.2365650282,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4243,Trust-Aware,1,8,8,8,0.2484909083,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4243,Trust-Aware,2,8,8,8,0.2443400014,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4243,Trust-Aware,3,8,8,8,0.2365672503,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4244,FedGreenSub,1,8,8,8,0.2484907343,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
