scenario,metric,implementation,mean,stddev,baseline_value,percentage_difference
normal,Trusted Peer Ratio,Standard GossipSub,0.0,0.0,0.0,
normal,Trusted Peer Ratio,FedGreenSub,0.0,0.0,0.0,
normal,Trusted Peer Ratio,Trust-Aware FedGreenSub,0.0,0.0,0.0,
normal,Trust Update Time (us),Standard GossipSub,0.0,0.0,0.0,
normal,Trust Update Time (us),FedGreenSub,0.0,0.0,0.0,
normal,Trust Update Time (us),Trust-Aware FedGreenSub,20.0,0.0,0.0,
normal,Peer Ranking Time (us),Standard GossipSub,0.0,0.0,0.0,
normal,Peer Ranking Time (us),FedGreenSub,0.0,0.0,0.0,
normal,Peer Ranking Time (us),Trust-Aware FedGreenSub,0.0,0.0,0.0,
normal,Trust Aggregation Time (us),Standard GossipSub,0.0,0.0,0.0,
normal,Trust Aggregation Time (us),FedGreenSub,0.0,0.0,0.0,
normal,Trust Aggregation Time (us),Trust-Aware FedGreenSub,0.0,0.0,0.0,
packetloss,Duplicate Ratio,Standard GossipSub,0.020618556701030927,0.0,0.020618556701030927,0.0
packetloss,Duplicate Ratio,FedGreenSub,0.016824322044383458,0.0009835068840045049,0.020618556701030927,-18.402038084740227
packetloss,Duplicate Ratio,Trust-Aware FedGreenSub,0.015228426395939087,0.0,0.020618556701030927,-26.142131979695428
packetloss,Delivery Ratio,Standard GossipSub,0.95,0.0,0.95,0.0
packetloss,Delivery Ratio,FedGreenSub,0.96,0.0,0.95,1.0526315789473695
packetloss,Delivery Ratio,Trust-Aware FedGreenSub,0.97,0.0,0.95,2.105263157894739
packetloss,Estimated Energy per Delivered Message,Standard GossipSub,0.00023242125134663027,0.00021164351773994105,0.00023242125134663027,0.0
packetloss,Estimated Energy per Delivered Message,FedGreenSub,0.00022899644821438762,0.00020852453093532814,0.00023242125134663027,-1.4735326965153195
packetloss,Estimated Energy per Delivered Message,Trust-Aware FedGreenSub,0.00022607447928209984,0.00020586347159942675,0.00023242125134663027,-2.73071934160828
packetloss,Go Heap Memory (MB),Standard GossipSub,0.5876475742885044,0.058651114144261864,0.5876475742885044,0.0
packetloss,Go Heap Memory (MB),FedGreenSub,0.5952540806361607,0.058651114144261864,0.5876475742885044,1.294399344175945
packetloss,Go Heap Memory (MB),Trust-Aware FedGreenSub,0.619980948311942,0.058651114144261864,0.5876475742885044,5.502170933417908
packetloss,Average Latency (ms),Standard GossipSub,20.0,0.0,20.0,0.0
packetloss,Average Latency (ms),FedGreenSub,20.0,0.0,20.0,0.0
packetloss,Average Latency (ms),Trust-Aware FedGreenSub,20.0,0.0,20.0,0.0
packetloss,Average TrustScore,Standard GossipSub,0.0,0.0,0.0,
packetloss,Average TrustScore,FedGreenSub,0.0,0.0,0.0,
packetloss,Average TrustScore,Trust-Aware FedGreenSub,0.5443014705882354,0.0,0.0,
packetloss,Minimum TrustScore,Standard GossipSub,0.0,0.0,0.0,
packetloss,Minimum TrustScore,FedGreenSub,0.0,0.0,0.0,
packetloss,Minimum TrustScore,Trust-Aware FedGreenSub,0.5036764705882353,0.0,0.0,
packetloss,Trust Variance,Standard GossipSub,0.0,0.0,0.0,
packetloss,Trust Variance,FedGreenSub,0.0,0.0,0.0,
packetloss,Trust Variance,Trust-Aware FedGreenSub,0.0008886718750000005,0.0,0.0,
packetloss,Trusted Peer Ratio,Standard GossipSub,0.0,0.0,0.0,
packetloss,Trusted Peer Ratio,FedGreenSub,0.0,0.0,0.0,
packetloss,Trusted Peer Ratio,Trust-Aware FedGreenSub,0.0,0.0,0.0,
packetloss,Trust Update Time (us),Standard GossipSub,0.0,0.0,0.0,
packetloss,Trust Update Time (us),FedGreenSub,0.0,0.0,0.0,
packetloss,Trust Update Time (us),Trust-Aware FedGreenSub,20.0,0.0,0.0,
packetloss,Peer Ranking Time (us),Standard GossipSub,0.0,0.0,0.0,
packetloss,Peer Ranking Time (us),FedGreenSub,0.0,0.0,0.0,
packetloss,Peer Ranking Time (us),Trust-Aware FedGreenSub,75.57142857142857,199.9432062218812,0.0,
packetloss,Trust Aggregation Time (us),Standard GossipSub,0.0,0.0,0.0,
packetloss,Trust Aggregation Time (us),FedGreenSub,0.0,0.0,0.0,
packetloss,Trust Aggregation Time (us),Trust-Aware FedGreenSub,0.0,0.0,0.0,
scaling,Duplicate Ratio,Standard GossipSub,0.0196078431372549,0.0,0.0196078431372549,0.0
scaling,Duplicate Ratio,FedGreenSub,0.015748031496062992,0.0,0.0196078431372549,-19.68503937007874
scaling,Duplicate Ratio,Trust-Aware FedGreenSub,0.013806706114398421,0.0,0.0196078431372549,-29.585798816568047
scaling,Delivery Ratio,Standard GossipSub,1.0,0.0,1.0,0.0
scaling,Delivery Ratio,FedGreenSub,1.0,0.0,1.0,0.0
scaling,Delivery Ratio,Trust-Aware FedGreenSub,1.0,0.0,1.0,0.0
scaling,Estimated Energy per Delivered Message,Standard GossipSub,0.00020604823764041068,5.0627584684597665e-09,0.00020604823764041068,0.0
scaling,Estimated Energy per Delivered Message,FedGreenSub,0.0002051487763516605,5.062758468440601e-09,0.00020604823764041068,-0.4365294743844843
scaling,Estimated Energy per Delivered Message,Trust-Aware FedGreenSub,0.0002046449446322024,5.062758468478933e-09,0.00020604823764041068,-0.6810507210730228
scaling,Go Heap Memory (MB),Standard GossipSub,0.5736045837402344,0.06912352895617091,0.5736045837402344,0.0
scaling,Go Heap Memory (MB),FedGreenSub,0.5812110900878906,0.06912352895617091,0.5736045837402344,1.326088835981299
scaling,Go Heap Memory (MB),Trust-Aware FedGreenSub,0.6655693054199219,0.06912352895617091,0.5736045837402344,16.03277314836367
scaling,Average Latency (ms),Standard GossipSub,20.0,0.0,20.0,0.0
scaling,Average Latency (ms),FedGreenSub,20.0,0.0,20.0,0.0
scaling,Average Latency (ms),Trust-Aware FedGreenSub,20.0,0.0,20.0,0.0
scaling,Average TrustScore,Standard GossipSub,0.0,0.0,0.0,
scaling,Average TrustScore,FedGreenSub,0.0,0.0,0.0,
scaling,Average TrustScore,Trust-Aware FedGreenSub,0.5467647058823535,0.0,0.0,
scaling,Minimum TrustScore,Standard GossipSub,0.0,0.0,0.0,
scaling,Minimum TrustScore,FedGreenSub,0.0,0.0,0.0,
scaling,Minimum TrustScore,Trust-Aware FedGreenSub,0.5055147058823529,0.0,0.0,
scaling,Trust Variance,Standard GossipSub,0.0,0.0,0.0,
scaling,Trust Variance,FedGreenSub,0.0,0.0,0.0,
scaling,Trust Variance,Trust-Aware FedGreenSub,0.0008765624999999988,0.0,0.0,
scaling,Trusted Peer Ratio,Standard GossipSub,0.0,0.0,0.0,
scaling,Trusted Peer Ratio,FedGreenSub,0.0,0.0,0.0,
scaling,Trusted Peer Ratio,Trust-Aware FedGreenSub,0.0,0.0,0.0,
scaling,Trust Update Time (us),Standard GossipSub,0.0,0.0,0.0,
scaling,Trust Update Time (us),FedGreenSub,0.0,0.0,0.0,
scaling,Trust Update Time (us),Trust-Aware FedGreenSub,100.0,0.0,0.0,
scaling,Peer Ranking Time (us),Standard GossipSub,0.0,0.0,0.0,
scaling,Peer Ranking Time (us),FedGreenSub,0.0,0.0,0.0,
scaling,Peer Ranking Time (us),Trust-Aware FedGreenSub,0.0,0.0,0.0,
scaling,Trust Aggregation Time (us),Standard GossipSub,0.0,0.0,0.0,
scaling,Trust Aggregation Time (us),FedGreenSub,0.0,0.0,0.0,
scaling,Trust Aggregation Time (us),Trust-Aware FedGreenSub,0.0,0.0,0.0,
trust,Duplicate Ratio,Standard GossipSub,0.0196078431372549,0.0,0.0196078431372549,0.0
trust,Duplicate Ratio,FedGreenSub,0.013157894736842105,0.0,0.0196078431372549,-32.89473684210527
trust,Duplicate Ratio,Trust-Aware FedGreenSub,0.013157894736842105,0.0,0.0196078431372549,-32.89473684210527
trust,Delivery Ratio,Standard GossipSub,1.0,0.0,1.0,0.0
trust,Delivery Ratio,FedGreenSub,1.0,0.0,1.0,0.0
trust,Delivery Ratio,Trust-Aware FedGreenSub,1.0,0.0,1.0,0.0
