scenario,implementation,peer_count,repetition,seed,modeled_resource_cost_total,modeled_resource_cost_per_delivered_message,delivered,duplicates,duplicate_ratio,delivery_ratio,bytes_sent,bytes_received,cpu,memory_mb
energy-scaling,fl,25,3,4244,67.2536290267,0.363533129874,185,12,0.0614611303807,0.926795877195,217387,201473,56.4482918721,2.49272918701
energy-scaling,fedgreen,25,3,4244,67.2534357711,0.363532085249,185,12,0.0614608778597,0.926795877195,217387,201473,56.4482918721,1.23722076416
energy-scaling,trustaware,25,3,4244,67.2536314012,0.363533142709,185,12,0.0614611335298,0.926795877195,217387,201473,56.4482918721,2.6732711792
energy-scaling,gossipsub,25,4,4245,67.9294344982,0.367186132423,185,12,0.0638429341972,0.926979201506,217875,201965,55.6339302387,2.8112487793
energy-scaling,heuristic,25,4,4245,67.9294344982,0.367186132423,185,12,0.0638429341972,0.926979201506,217875,201965,55.6339302387,2.9529800415
energy-scaling,fl,25,4,4245,66.626043324,0.360140774724,185,12,0.0622300257234,0.926979201506,217544,201658,55.6339302387,1.81418609619
energy-scaling,fedgreen,25,4,4245,66.625834541,0.360139646167,185,12,0.0622297549573,0.926979201506,217544,201658,55.6339302387,3.23609924316
energy-scaling,trustaware,25,4,4245,66.6260460766,0.360140789603,185,12,0.0622300294774,0.926979201506,217544,201658,55.6339302387,2.06884002686
energy-scaling,gossipsub,25,5,4246,68.1461645907,0.368357646436,185,12,0.0641805925437,0.927265241732,217944,202091,56.073666695,2.20681762695
energy-scaling,heuristic,25,5,4246,68.1461645907,0.368357646436,185,12,0.0641805925437,0.927265241732,217944,202091,56.073666695,2.34854888916
energy-scaling,fl,25,5,4246,66.8427780681,0.361312313881,185,12,0.0625676904552,0.927265241732,217613,201784,56.073666695,1.27081298828
energy-scaling,fedgreen,25,5,4246,66.8425733332,0.361311207206,185,12,0.0625674252922,0.927265241732,217613,201784,56.073666695,2.69272613525
energy-scaling,trustaware,25,5,4246,66.8427807368,0.361312328307,185,12,0.0625676940806,0.927265241732,217613,201784,56.073666695,1.65970611572
energy-scaling,gossipsub,50,1,4242,68.1565679679,0.368413880908,185,12,0.0633398450086,0.926997550199,217772,201874,56.2309505368,1.94242858887
energy-scaling,heuristic,50,1,4242,68.1565679679,0.368413880908,185,12,0.0633398450086,0.926997550199,217772,201874,56.2309505368,2.21825408936
energy-scaling,fl,50,1,4242,66.8532004356,0.361368651003,185,12,0.0617278332638,0.926997550199,217441,201567,56.2309505368,2.76117706299
energy-scaling,fedgreen,50,1,4242,66.8529928659,0.361367529005,185,12,0.0617275669428,0.926997550199,217441,201567,56.2309505368,2.4213104248
energy-scaling,trustaware,50,1,4242,66.8532014345,0.361368656402,185,12,0.0617278345596,0.926997550199,217441,201567,56.2309505368,1.63463592529
energy-scaling,gossipsub,50,2,4243,68.5456137572,0.37051683112,185,12,0.0633249105183,0.92661768806,217768,201787,56.6374137454,1.90368652344
energy-scaling,heuristic,50,2,4243,68.5456137572,0.37051683112,185,12,0.0633249105183,0.92661768806,217768,201787,56.6374137454,2.17951202393
