peer_count,implementation,repetitions,modeled_resource_cost_total_mean,modeled_resource_cost_total_stddev,modeled_resource_cost_per_delivered_mean,modeled_resource_cost_per_delivered_stddev,delivered_mean,duplicates_mean,duplicate_ratio_mean,delivery_ratio_mean,bytes_sent_mean,bytes_received_mean,cpu_mean,memory_mb_mean,gossipsub_baseline_total_mean,absolute_difference_from_baseline,reduction_from_baseline_percent,trustaware_vs_fedgreen_difference,trustaware_vs_fedgreen_reduction_percent
10,gossipsub,5,66.331826064,0.20174178498,0.354715647401,0.00107883307476,187,10.8,0.0569253122925,0.93886210083,216457.8,203223.4,52.5885527577,1.77384490967,66.331826064,0,-0,0.000169212481609,-0.000260214152473
10,fedgreen,5,65.028162381,0.201749785414,0.347744183856,0.00107887585783,187,10.4,0.0553115333933,0.93886210083,216127.2,202912.8,52.5885527577,1.93528900146,66.331826064,-1.30366368298,1.96536679349,0.000169212481609,-0.000260214152473
10,trustaware,5,65.0283315935,0.20174580669,0.347745088735,0.00107885458123,187,10.4,0.0553117538093,0.93886210083,216127.4,202913,52.5885527577,2.01531677246,66.331826064,-1.3034944705,1.9651116935,0.000169212481609,-0.000260214152473
25,gossipsub,5,68.2232111836,0.340728962115,0.368774114506,0.00184177817359,185,12,0.0630781481635,0.927071851645,217718,201839.6,56.0145626784,1.992137146,68.2232111836,0,-0,0.000199694955512,-0.000298410141772
25,fedgreen,5,66.9196275724,0.340739620393,0.361727716608,0.00184183578591,185,12,0.0614649896587,0.927071851645,217387.4,201533,56.0145626784,2.38304748535,68.2232111836,-1.30358361115,1.91076261074,0.000199694955512,-0.000298410141772
25,trustaware,5,66.9198272674,0.340733580679,0.36172879604,0.00184180313881,185,12,0.0614652492239,0.927071851645,217387.6,201533.2,56.0145626784,2.28819274902,68.2232111836,-1.30338391619,1.91046990251,0.000199694955512,-0.000298410141772
50,gossipsub,5,68.3362108283,0.198135467935,0.369384923396,0.00107100252938,185,12,0.0632209202855,0.926883533841,217747,201825.6,56.4839774595,2.33881988525,68.3362108283,0,-0,0.000206181102371,-0.00030758313977
50,fedgreen,5,67.0326411665,0.198138195882,0.3623386009,0.00107101727504,185,12,0.061608649026,0.926883533841,217416.8,201519.6,56.4839774595,2.64016418457,68.3362108283,-1.30356966178,1.90758259199,0.000206181102371,-0.00030758313977
50,trustaware,5,67.0328473476,0.198138076509,0.362339715392,0.00107101662978,185,12,0.0616089139961,0.926883533841,217416.8,201519.6,56.4839774595,2.34371490479,68.3362108283,-1.30336348068,1.90728087625,0.000206181102371,-0.00030758313977
100,gossipsub,5,68.8517187015,0.192973390774,0.374194123378,0.00104876842812,184,12,0.0648363299306,0.923883859901,218078,201478,57.4966908155,2.93739471436,68.8517187015,0,-0,0.000251300752609,-0.000372033442214
100,fedgreen,5,67.547893306,0.192977704444,0.367108115793,0.00104879187198,184,12,0.0632254952791,0.923883859901,217748,201173,57.4966908155,2.58440551758,68.8517187015,-1.30382539554,1.89367153084,0.000251300752609,-0.000372033442214
100,trustaware,5,67.5481446067,0.192976277573,0.367109481558,0.00104878411724,184,12,0.0632258074375,0.923883859901,217748,201173,57.4966908155,2.20840148926,68.8517187015,-1.30357409479,1.89330654249,0.000251300752609,-0.000372033442214
200,gossipsub,5,68.8231178667,0.16212095462,0.374038684058,0.000881092144676,184,12.2,0.0649378118279,0.923998822602,218098.8,201522.6,57.4702027949,3.22440185547,68.8231178667,0,-0,0.000249802526795,-0.000369972065461
200,fedgreen,5,67.5192940538,0.162122986247,0.366952685075,0.000881103186124,184,12,0.0633269789973,0.923998822602,217768.8,201217.6,57.4702027949,3.33078460693,68.8231178667,-1.30382381292,1.89445618468,0.000249802526795,-0.000369972065461
200,trustaware,5,67.5195438563,0.162123646993,0.366954042697,0.000881106777133,184,12,0.0633272892148,0.923998822602,217768.8,201217.6,57.4702027949,3.44953155518,68.8231178667,-1.30357401039,1.89409322158,0.000249802526795,-0.000369972065461
